ProblemName,Permutation,T_lp-bb,T_lp-bb-confgraph,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-confgraph,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-confgraph,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-confgraph,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-confgraph,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-confgraph,DIQ_lp-bb-no-lp
4stufen,0,7200,7200,7200,26,26,26,646892.86,646893.75,646893.75,1,1,1,1,1,1,0.999998624194468,1,1
4stufen,1,7200,7200,7200,27,27,27,646892.85,646893.73,646891.85,1,1,1,1,1,1,1.00000154585345,1.00000290620449,1
4stufen,2,7200,7200,7200,1466966,1536609,1351887,202121.61,202550.95,204661.23,1,1,1,1.08511842199666,1.13663001197497,1,0.987591103600814,0.989688911768975,1
alan,0,0.5,0.5,0.5,2,2,2,0.24,0.48,0.25,1,1,1,1,1,1,0.96,1.92,1
alan,1,0.5,0.5,0.5,2,2,2,0.24,1.22,0.22,1,1,1,1,1,1,1.09090909090909,5.54545454545455,1
alan,2,0.5,0.5,0.5,1,1,1,0.06,0.12,0.09,1,1,1,1,1,1,0.666666666666667,1.33333333333333,1
autocorr_bern20-03,0,0.5,0.5,0.5,1,1,1,0.5,0,0.5,1,1,1,1,1,1,1,0,1
autocorr_bern20-03,1,0.5,0.5,0.5,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
autocorr_bern20-03,2,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
autocorr_bern20-05,0,50.17,51.47,52.77,33679,35340,36163,2927.35,2990.6,3048.14,0.951645899200298,0.975822949600149,1,0.931500427432921,0.9773046907316,1,0.960372555066368,0.981122914301836,1
autocorr_bern20-05,1,50.31,51.61,53.02,33679,35340,36163,2939.63,2998.85,3061.57,0.949833395038874,0.973898556090337,1,0.931500427432921,0.9773046907316,1,0.960170762059989,0.979513778878157,1
autocorr_bern20-05,2,49.84,51.32,52.73,33679,35340,36163,2915.7,2986.86,3044.24,0.946212544202494,0.973757677275265,1,0.931500427432921,0.9773046907316,1,0.95777599663627,0.98115128899167,1
autocorr_bern20-10,0,488.03,498.15,491.69,170120,174456,169917,26840.63,27073.84,26864,0.99257139377702,1.01311169295094,1,1.00119399824723,1.02669733026697,1,0.999130062537225,1.00781119714116,1
autocorr_bern20-10,1,494.4,487.41,495.49,171171,171548,173068,27133.9,26716.52,27083.22,0.997804588209229,0.983725754798687,1,0.989045320151529,0.991222396747667,1,1.001871269369,0.986460251033666,1
autocorr_bern20-10,2,498.15,507.12,501.46,172255,188015,184617,27149.64,27339.7,27137.98,0.993412410938184,1.01126457827489,1,0.933076002750153,1.01839570802904,1,1.00042965614979,1.0074331250889,1
autocorr_bern20-15,0,996.7,931.45,949.24,169986,167760,168894,63307.65,58980.97,60637.84,1.04994527698266,0.98127841387439,1,1.00646176787342,0.993289702592991,1,1.04402877806993,0.972675972626993,1
autocorr_bern20-15,1,991.63,933.28,945.28,169986,167760,168894,62944.95,59060.43,60379.85,1.04898127404151,0.987318764002198,1,1.00646176787342,0.993289702592991,1,1.04248271567419,0.978148007986108,1
autocorr_bern20-15,2,988.21,933.53,943.81,169986,167760,168894,62751.01,59076.62,60277.2,1.04699357542786,0.989119505509044,1,1.00646176787342,0.993289702592991,1,1.04104055928278,0.980082352863106,1
autocorr_bern25-03,0,0.5,0.5,0.5,1,1,1,0,0.5,0,1,1,1,1,1,1,0,inf,0
autocorr_bern25-03,1,0.5,0.5,0.5,1,1,1,1,0,0,1,1,1,1,1,1,inf,0,0
autocorr_bern25-03,2,0.5,0.5,0.5,1,1,1,0,1,0,1,1,1,1,1,1,0,inf,0
autocorr_bern25-06,0,1070.98,1269.64,1151.54,956501,1133445,1060923,53872.6,61581.8,56850.66,0.93010220903396,1.10246932861332,1,0.901583660297656,1.06835101595347,1,0.947616087482538,1.0832204938342,1
autocorr_bern25-06,1,1141.22,1139.83,1053.56,1060245,1022168,932298,26776.16,56157.99,52116.29,1.08312471552117,1.08180663025338,1,1.13722358906819,1.09638587813359,1,0.513777170247537,1.07755156784952,1
autocorr_bern25-06,2,1172.95,1135.78,1219.57,1039728,973892,1077557,57373.24,56698.89,59902.68,0.961804730576698,0.931351745495957,1,0.964896994127074,0.903805199613606,1,0.957774176380756,0.946516750168774,1
autocorr_bern25-13,0,7200,7200,7200,1064092,1062455,1064153,370931.24,370568.69,370886.69,1,1,1,0.999942682801928,0.998404514715956,1,1.00012011754857,0.999142595276201,1
autocorr_bern25-13,1,7200,7200,7200,1063055,1061768,1057004,371022.52,370609.45,370980.54,1,1,1,1.00572412931935,1.0045066521364,1,1.00011315957435,0.998999704944092,1
autocorr_bern25-13,2,7200,7200,7200,1060282,1063075,1056399,371050.73,370745.98,370991.84,1,1,1,1.00367534659285,1.0063189837378,1,1.00015873664499,0.999337290006163,1
autocorr_bern25-19,0,7200,7200,7200,450391,558643,562861,522451.72,508646.4,490238.44,1,1,1,0.80021706654635,0.992507473874744,1,1.06570941275025,1.0375489935061,1
autocorr_bern25-19,1,7200,7200,7200,454617,558996,560870,522014.75,508583.05,490325.85,1,1,1,0.810590584166711,0.996659357897927,1,1.06462824670574,1.03723483067434,1
autocorr_bern25-19,2,7200,7200,7200,450832,564464,563583,522401.59,507952.64,489971.71,1,1,1,0.799974453726651,1.00156293519585,1,1.06618724987204,1.03669789425189,1
autocorr_bern25-25,0,7200,7200,7200,289911,327941,328682,599345.32,598454.98,598660.77,1,1,1,0.882076877687951,0.997746226983229,1,1.00114346894653,0.999656249398135,1
autocorr_bern25-25,1,7200,7200,7200,247944,288576,286811,592071.96,495923.26,497605.5,1,1,1,0.864532903931881,1.00615173346438,1,1.18984207369091,0.996619329971232,1
autocorr_bern25-25,2,7200,7200,7200,204955,322782,322253,610566.27,600879.93,601219.37,1,1,1,0.636119409467261,1.0016410580947,1,1.01554657162826,0.999435414065252,1
autocorr_bern30-04,0,567.49,476.86,463.7,824450,720283,668272,18007.47,15693.19,14516.04,1.22334839681515,1.0283193458145,1,1.23366927399712,1.07781744298086,1,1.24052220853621,1.08109305292628,1
autocorr_bern30-04,1,526.68,655.44,477.45,753958,1018943,702459,16337.25,19529.72,15513.15,1.10289476434319,1.37201379454488,1,1.07330202872641,1.45047319869221,1,1.05312267334487,1.25891388918434,1
autocorr_bern30-04,2,600.81,760.18,547.95,891728,1185016,805399,10971.75,22230.53,16784.6,1.09629292285272,1.38661080244102,1,1.10717455887593,1.47128177688613,1,0.653679563409316,1.3244599215948,1
autocorr_bern30-08,0,7200,7200,7200,1472244,1487584,1448144,519160.92,519418.26,180218.73,1,1,1,1.01664084228901,1.02723298007794,1,2.88072677018643,2.88215470167834,1
autocorr_bern30-08,1,7200,7200,7200,1426595,1299003,1516624,516475.77,483061.07,415675.69,1,1,1,0.940642463625551,0.856519050268869,1,1.24249693312592,1.16211046645523,1
autocorr_bern30-08,2,7200,7200,7200,1335590,1336015,1513474,438559.76,438480.43,479700.76,1,1,1,0.882474196834776,0.882754989184539,1,0.914236116699085,0.914070742768888,1
autocorr_bern30-15,0,7200,7200,7200,555814,533604,509542,553456.12,556685.85,559584.42,1,1,1,1.09079314499197,1.04721353420636,1,0.989048479941597,0.994820138130364,1
autocorr_bern30-15,1,7200,7200,7200,552437,535192,513359,553713.3,556494.87,559288.9,1,1,1,1.07610734255315,1.04252140872007,1,0.9900309124676,0.995004317089075,1
autocorr_bern30-15,2,7200,7200,7200,555074,535397,508534,553494.03,556600.09,559476.55,1,1,1,1.09149997837345,1.05281400771478,1,0.989306933418389,0.994858658508565,1
autocorr_bern30-23,0,7200,7200,7200,63291,89694,88265,629372.91,626260.66,626176.03,1,1,1,0.717376789452838,1.01617156113846,1,1.00510540143161,1.00013515368833,1
autocorr_bern30-23,1,7200,7200,7200,63197,89352,88982,629384.82,626292.66,626090.95,1,1,1,0.710547585370782,1.00415347657215,1,1.00526100880391,1.00032217363947,1
autocorr_bern30-23,2,7200,7200,7200,63054,87971,88352,629415.64,626547.82,626174.33,1,1,1,0.713991769547325,0.995692579025912,1,1.00517636997352,1.00059646328843,1
autocorr_bern30-30,0,7200,7200,7200,66,66,66,1025087.33,1020573.04,1020299.24,1,1,1,1,1,1,1.00469282913511,1.00026835264525,1
autocorr_bern30-30,1,7200,7200,7200,66,66,66,1022380.74,1018925.12,1023417.9,1,1,1,1,1,1,0.998986572347425,0.995610024018536,1
autocorr_bern30-30,2,7200,7200,7200,66,66,66,1023230.68,1019325.58,1019560.69,1,1,1,1,1,1,1.00359957973664,0.999769400681778,1
autocorr_bern35-04,0,3979.89,3835.78,2692.43,5243100,4883919,3871001,99434.98,85111.69,71759.25,1.47800017078595,1.42449590299358,1,1.35444670650546,1.26166147563703,1,1.38567473879674,1.18607273626745,1
autocorr_bern35-04,1,4934.99,4068.84,5636.04,5548734,5660023,7464527,51714.43,67475.72,149792.68,0.875635085080113,0.72198174928686,1,0.743350471497102,0.758259320927891,1,0.345240034426248,0.450460730123795,1
autocorr_bern35-04,2,2619.7,2683.2,2700.58,3599710,3654847,3575852,71559.23,68596.69,69689.61,0.970061963739737,0.993566727618653,1,1.00667178977794,1.02209062090319,1,1.02682781550937,0.984317317889998,1
autocorr_bern35-09,0,7200,7200,7200,624181,589314,590796,612113.1,612777.2,612697.22,1,1,1,1.05649894397661,0.997491944436923,1,0.999046641667478,1.00013053755981,1
autocorr_bern35-09,1,7200,7200,7200,619435,697786,635177,245828.34,354278.19,414818.63,1,1,1,0.975220258249551,1.09855385918269,1,0.592616440587541,0.854055638725773,1
autocorr_bern35-09,2,7200,7200,7200,729013,650533,665317,460224.65,444434.63,609356.14,1,1,1,1.09572343357624,0.977782353020737,1,0.755263826503824,0.729351196822272,1
autocorr_bern35-18,0,7200,7200,7200,17601,17595,18161,617973.43,617887.67,617715.96,1,1,1,0.969333552379388,0.969004983297738,1,1.00041680969357,1.00027797565729,1
autocorr_bern35-18,1,7200,7200,7200,17783,17591,18403,617867.66,617938.14,617558.8,1,1,1,0.966491920229152,0.95611522455818,1,1.00050013051389,1.00061425729825,1
autocorr_bern35-18,2,7200,7200,7200,17644,17432,18190,617980.02,618018.27,617684.62,1,1,1,0.970147621651176,0.958556588299617,1,1.00047823758345,1.00054016238902,1
autocorr_bern35-26,0,7200,7200,7200,18462,25165,26912,650916.55,650250.8,649744.28,1,1,1,0.687176069894862,0.935325040722642,1,1.00180420210856,1.0007795682326,1
