ProblemName,Permutation,T_nlp-bb-no-conflicts,T_nlp-bb-no-nlconflicts,T_nlp-bb-no-verifyproof,N_nlp-bb-no-conflicts,N_nlp-bb-no-nlconflicts,N_nlp-bb-no-verifyproof,DI_nlp-bb-no-conflicts,DI_nlp-bb-no-nlconflicts,DI_nlp-bb-no-verifyproof,TQ+1_nlp-bb-no-conflicts,TQ+1_nlp-bb-no-nlconflicts,TQ+1_nlp-bb-no-verifyproof,NQ+100_nlp-bb-no-conflicts,NQ+100_nlp-bb-no-nlconflicts,NQ+100_nlp-bb-no-verifyproof,DIQ_nlp-bb-no-conflicts,DIQ_nlp-bb-no-nlconflicts,DIQ_nlp-bb-no-verifyproof
4stufen,0,7200,7200,7200,29134,30114,17317,646892.01,646892.13,646892.09,1,1,1,1,1.03352261065882,0.595778887596634,1,1.00000018550237,1.00000012366825
4stufen,1,7200,7200,7200,20959,29349,18542,646892.99,646892.11,646892.1,1,1,1,1,1.398404482644,0.885227218766323,1,0.999998639651359,0.999998624192851
4stufen,2,7200,7200,7200,13108,13108,17946,646884.25,646884.26,646870.79,1,1,1,1,1,1.36629315566323,1,1.00000001545872,0.999979192568068
alan,0,0.53,0.51,0.54,9,9,9,2.45,1.44,2.46,1,0.986928104575163,1.00653594771242,1,1,1,1,0.587755102040816,1.00408163265306
alan,1,0.64,0.61,0.61,9,9,9,1.55,2.52,1.53,1,0.981707317073171,0.981707317073171,1,1,1,1,1.6258064516129,0.987096774193548
alan,2,8.27,8.28,8.28,11,11,11,9.32,8.33,8.33,1,1.00107874865156,1.00107874865156,1,1,1,1,0.893776824034335,0.893776824034335
autocorr_bern20-05,0,7200,7200,7200,254569,251924,251025,575263.8,7585.53,7560.4,1,1,1,1,0.989613969505515,0.986083897137068,1,0.0131861764985038,0.0131424921922777
autocorr_bern20-05,1,7200,7200,7200,254642,251317,252008,575269.1,7581.93,7545.68,1,1,1,1,0.986947578334158,0.989660126716442,1,0.0131797970723614,0.0131167830846468
autocorr_bern20-05,2,7200,7200,7200,252886,252137,251654,575398.31,7564.9,7581.73,1,1,1,1,0.997039361861921,0.99513016530559,1,0.0131472405610646,0.0131764898649077
autocorr_bern20-10,0,7200,7200,7200,80870,73185,72600,657474.16,132170.81,132336.78,1,1,1,1,0.905088304310238,0.897863406199827,1,0.201028143828497,0.201280579604832
autocorr_bern20-10,1,7200,7200,7200,80706,73141,72276,657398.53,132342.79,132515.24,1,1,1,1,0.906380714303393,0.895676063658639,1,0.201312877897673,0.201575199749838
autocorr_bern20-10,2,7200,7200,7200,80276,72955,73255,657450.9,132457.95,132195.29,1,1,1,1,0.908915596695531,0.912648054145516,1,0.201472003460639,0.201072490736571
autocorr_bern20-15,0,7200,7200,7200,47549,44239,43945,672028.4,671619.61,671632.48,1,1,1,1,0.930533694306281,0.924363575311129,1,0.999391707255229,0.999410858231587
autocorr_bern20-15,1,7200,7200,7200,47123,45414,44850,672052.84,671614.43,671623.15,1,1,1,1,0.963810007835165,0.951866675137115,1,0.999347655461139,0.999360630631365
autocorr_bern20-15,2,7200,7200,7200,47656,44505,44678,672003.36,671631.97,671592.84,1,1,1,1,0.934018762040372,0.937641343496105,1,0.999447339072828,0.999389110197306
autocorr_bern25-06,0,7200,7200,7200,98699,101431,101449,662962.73,658767.65,658766.9,1,1,1,1,1.02765210174192,1.02783428982075,1,0.993672223474765,0.993671092189451
autocorr_bern25-06,1,7200,7200,7200,99204,101790,101193,662962.1,658761.11,658767.57,1,1,1,1,1.02604124707967,1.02002940465641,1,0.993663302924858,0.99367304707162
autocorr_bern25-06,2,7200,7200,7200,99331,101781,101605,662961.88,658764.64,658768.74,1,1,1,1,1.02464020275367,1.02287013104565,1,0.993668957255883,0.993675141623527
autocorr_bern25-13,0,7200,7200,7200,29997,26073,27334,681153.04,680793.18,680805.35,1,1,1,1,0.86962155696581,0.911519420540253,1,0.999471689945038,0.999489556708137
autocorr_bern25-13,1,7200,7200,7200,28677,27378,26717,681165.44,680796.65,680796.26,1,1,1,1,0.954859783855162,0.931890051082462,1,0.999458589678302,0.99945801713017
autocorr_bern25-13,2,7200,7200,7200,29631,25490,27373,681171.01,680792.97,680794.63,1,1,1,1,0.860717769331674,0.924052335945646,1,0.999445014549283,0.999447451529095
autocorr_bern25-19,0,7200,7200,7200,13635,12528,11815,684855.54,664110.9,663162.55,1,1,1,1,0.919402985074627,0.867491809246451,1,0.969709466028412,0.968324721444175
autocorr_bern25-19,1,7200,7200,7200,12715,10502,11185,684859.33,663090.63,660825.14,1,1,1,1,0.827311744049941,0.880608661724541,1,0.968214348485258,0.964906384497967
autocorr_bern25-19,2,7200,7200,7200,13303,12366,11579,684854.36,662368.71,666872.73,1,1,1,1,0.930090278295904,0.871372080877415,1,0.96716725290323,0.973743862855746
autocorr_bern25-25,0,7200,7200,7200,7197,10260,11249,686097.4,686337.69,686319.44,1,1,1,1,1.41976154584076,1.55529669727285,1,1.00035022724179,1.00032362751994
autocorr_bern25-25,1,7200,7200,7200,8722,10371,9241,686094.37,686320.36,686347.95,1,1,1,1,1.18691906597144,1.05883019723419,1,1.00032938617467,1.00036959930162
autocorr_bern25-25,2,7200,7200,7200,8976,10332,10189,686094.79,686319.05,686320.65,1,1,1,1,1.14940502423975,1.13364918466285,1,1.00032686445557,1.00032919649485
autocorr_bern30-08,0,7200,7200,7200,38358,37547,37323,673470.13,672796.64,672787.55,1,1,1,1,0.978912059909512,0.973087524052213,1,0.998999970496093,0.998986473238242
autocorr_bern30-08,1,7200,7200,7200,37679,37538,37319,673493.51,672790.5,672791.71,1,1,1,1,0.996267767807512,0.990470896529818,1,0.998956174054298,0.998957970656614
autocorr_bern30-08,2,7200,7200,7200,37578,36204,36837,673465.4,672800.77,672798.96,1,1,1,1,0.963533096236531,0.980333351027125,1,0.999013119307985,0.999010431716314
autocorr_bern30-15,0,7200,7200,7200,7073,7705,8281,684942.19,685179.09,685179.56,1,1,1,1,1.08810818346577,1.1684093127004,1,1.00034586860535,1.00034655479465
autocorr_bern30-15,1,7200,7200,7200,9482,8650,9088,684936.35,685179.1,685180.02,1,1,1,1,0.913170528073471,0.958881235650177,1,1.00035441249395,1.00035575568445
autocorr_bern30-15,2,7200,7200,7200,10034,9439,6923,684935.28,685178.87,685180.82,1,1,1,1,0.941286757450168,0.693013617525163,1,1.00035563944085,1.00035848642517
autocorr_bern30-23,0,7200,7200,7200,3991,3944,3955,687910.43,687866.31,687864.69,1,1,1,1,0.988511366414079,0.99120019555121,1,0.999935863743191,0.999933508785439
autocorr_bern30-23,1,7200,7200,7200,3988,5644,4922,687915.41,687858.9,687860.37,1,1,1,1,1.40508806262231,1.22847358121331,1,0.999917853272105,0.999919990162744
autocorr_bern30-23,2,7200,7200,7200,3977,3956,4766,687911.6,687864.25,687860.05,1,1,1,1,0.994849153789551,1.19352465047829,1,0.999931168481532,0.999925063045892
autocorr_bern30-30,0,7200,7200,7200,3209,2510,3318,688149.21,688178.43,688171.91,1,1,1,1,0.788757932910245,1.0329404653974,1,1.00004246172135,1.00003298703198
autocorr_bern30-30,1,7200,7200,7200,2506,3679,2515,688144.65,688174.41,688176.23,1,1,1,1,1.45011511895626,1.00345356868764,1,1.00004324672146,1.00004589151423
autocorr_bern30-30,2,7200,7200,7200,2476,2509,3609,688148.34,688179.25,688172.46,1,1,1,1,1.01281055900621,1.43982919254658,1,1.00004491764087,1.00003505058226
autocorr_bern35-09,0,7200,7200,7200,27535,25229,25285,679490.95,430301.14,431562.79,1,1,1,1,0.91655509317894,0.918581508956034,1,0.633269861798748,0.635126619420023
autocorr_bern35-09,1,7200,7200,7200,26844,24324,25307,679490.58,431000.04,432265.85,1,1,1,1,0.906472684085511,0.942955760095012,1,0.634298771294225,0.636161652160064
autocorr_bern35-09,2,7200,7200,7200,26312,24927,24774,679490.18,431408.63,431119.9,1,1,1,1,0.947561714372255,0.941768892927457,1,0.634900463167841,0.634475541648004
autocorr_bern35-18,0,7200,7200,7200,3965,5457,3888,687317.66,687333.52,687337.09,1,1,1,1,1.3670356703567,0.981057810578106,1,1.00002307521096,1.00002826931582
autocorr_bern35-18,1,7200,7200,7200,3959,3909,3915,687317.33,687337.02,687337.45,1,1,1,1,0.987681694998768,0.989159891598916,1,1.00002864761172,1.0000292732325
